internal_id,customer_label,rawseqs(R1+R2),trimmed_seqs(R1+R2),dada2_infered,chimera_seqs,chimera_free_seqs,unique_seqs,seqs(after_size_filtration),final_unique_seqs
zr9122_226V3V4,SNW.G1,83562,71360,25150,1797,23353,232,23184,206
zr9122_227V3V4,SNW.T1,90340,80992,31217,2790,28427,383,28049,310
zr9122_228V3V4,JM.A1,114268,103336,50682,2349,48333,39,48272,30
zr9122_229V3V4,JM.G1,92302,83668,30158,2610,27548,455,27110,369
zr9122_230V3V4,JM.T1,83720,70788,23751,2049,21702,239,21557,213
zr9122_231V3V4,JMS.A1,125658,109250,52134,4105,48029,40,47643,33
zr9122_232V3V4,JMS.G1,88714,77042,25869,1525,24344,369,23946,301
zr9122_233V3V4,JMS.T1,141604,127818,52283,4380,47903,596,47276,499
zr9122_234V3V4,BLMNW.A1,123918,112296,54254,2101,52153,44,50689,38
zr9122_235V3V4,BLMNW.GL1,125252,110964,49018,1144,47874,659,47658,617
zr9122_236V3V4,BLMNW.A2,129400,116040,55888,3591,52297,30,52281,27
zr9122_237V3V4,BLMNW.G2,67266,59838,21409,788,20621,300,20317,251
zr9122_238V3V4,BLMNW.T2,110704,99406,37712,1816,35896,567,35290,452
zr9122_239V3V4,BLMNW.E350,104004,94948,37443,2875,34568,502,33860,369
zr9122_240V3V4,SBluG.W1,71146,63778,31049,745,30304,49,30298,48
zr9122_241V3V4,SBluG.A1,105532,91240,44715,564,44151,44,44144,43
zr9122_242V3V4,SBluG.G1,103264,90396,30907,2111,28796,413,28345,330
zr9122_243V3V4,SBluG.T1,95034,86540,33487,2236,31251,396,30823,320
zr9122_244V3V4,SBluG.A2,79400,73278,35499,1050,34449,42,34417,37
zr9122_245V3V4,SBluG.G2,65440,59380,20333,916,19417,376,19033,309
zr9122_246V3V4,SBluG.T2,113654,103352,38067,1846,36221,813,35088,611
zr9122_247V3V4,SBluG.E2,76086,70282,32631,929,31702,383,31472,346
zr9122_248V3V4,SBluG.chevy,77878,69988,26337,1279,25058,470,24360,343
zr9122_249V3V4,BLMSE.E1,83208,72572,35463,443,35020,40,35018,38
zr9122_250V3V4,BLMSE.A1,62920,55964,26930,960,25970,53,25610,48
zr9122_251V3V4,BLMSE.G1,70122,60656,16635,1393,15242,224,15011,186
